Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,League
vs Preston,29,26.3,,46,506.0,4140,46.0,42.0,26.0,68.0,38.0,4.0,4.0,83.0,4.0,,,,,,,0.91,0.57,1.48,0.83,1.39,,,,,,Championship 2015-2016
vs QPR,32,26.4,,46,506.0,4140,46.0,54.0,34.0,88.0,50.0,4.0,7.0,53.0,1.0,,,,,,,1.17,0.74,1.91,1.09,1.83,,,,,,Championship 2015-2016
vs Reading,30,26.2,,46,506.0,4140,46.0,59.0,40.0,99.0,56.0,3.0,4.0,91.0,3.0,,,,,,,1.28,0.87,2.15,1.22,2.09,,,,,,Championship 2015-2016
vs Rotherham Utd,39,26.4,,46,506.0,4140,46.0,68.0,44.0,112.0,64.0,4.0,5.0,55.0,4.0,,,,,,,1.48,0.96,2.43,1.39,2.35,,,,,,Championship 2015-2016
vs Sheffield Weds,29,26.4,,46,506.0,4140,46.0,43.0,30.0,73.0,39.0,4.0,5.0,75.0,3.0,,,,,,,0.93,0.65,1.59,0.85,1.5,,,,,,Championship 2015-2016
vs Wolves,33,26.3,,46,506.0,4140,46.0,56.0,37.0,93.0,51.0,5.0,7.0,71.0,3.0,,,,,,,1.22,0.8,2.02,1.11,1.91,,,,,,Championship 2015-2016
vs Aberdeen,31,25.8,,38,418.0,3420,38.0,48.0,25.0,73.0,42.0,6.0,6.0,88.0,3.0,,,,,,,1.26,0.66,1.92,1.11,1.76,,,,,,Scottish Premiership 2015-2016
vs Celtic,36,25.8,,38,418.0,3420,38.0,30.0,17.0,47.0,25.0,5.0,5.0,62.0,2.0,,,,,,,0.79,0.45,1.24,0.66,1.11,,,,,,Scottish Premiership 2015-2016
vs Dundee,30,26.0,,38,418.0,3420,38.0,56.0,39.0,95.0,50.0,6.0,7.0,69.0,6.0,,,,,,,1.47,1.03,2.5,1.32,2.34,,,,,,Scottish Premiership 2015-2016
vs Dundee United,40,25.7,,38,418.0,3420,38.0,68.0,47.0,115.0,64.0,4.0,6.0,80.0,5.0,,,,,,,1.79,1.24,3.03,1.68,2.92,,,,,,Scottish Premiership 2015-2016
vs Hamilton Acad.,29,25.7,,38,418.0,3420,38.0,63.0,38.0,101.0,59.0,4.0,6.0,61.0,7.0,,,,,,,1.66,1.0,2.66,1.55,2.55,,,,,,Scottish Premiership 2015-2016
vs Hearts,30,25.9,,38,418.0,3420,38.0,40.0,23.0,63.0,36.0,4.0,5.0,104.0,6.0,,,,,,,1.05,0.61,1.66,0.95,1.55,,,,,,Scottish Premiership 2015-2016
vs Inverness CT,25,25.7,,38,418.0,3420,38.0,47.0,29.0,76.0,45.0,2.0,5.0,63.0,6.0,,,,,,,1.24,0.76,2.0,1.18,1.95,,,,,,Scottish Premiership 2015-2016
vs Kilmarnock,34,25.9,,38,418.0,3420,38.0,64.0,38.0,102.0,58.0,6.0,8.0,62.0,3.0,,,,,,,1.68,1.0,2.68,1.53,2.53,,,,,,Scottish Premiership 2015-2016
vs Motherwell,27,25.8,,38,418.0,3420,38.0,62.0,36.0,98.0,52.0,10.0,11.0,65.0,1.0,,,,,,,1.63,0.95,2.58,1.37,2.32,,,,,,Scottish Premiership 2015-2016
vs Partick Thistle,29,25.8,,38,418.0,3420,38.0,48.0,31.0,79.0,43.0,5.0,5.0,50.0,2.0,,,,,,,1.26,0.82,2.08,1.13,1.95,,,,,,Scottish Premiership 2015-2016
vs Ross County,26,25.8,,38,418.0,3420,38.0,60.0,39.0,99.0,56.0,4.0,5.0,62.0,3.0,,,,,,,1.58,1.03,2.61,1.47,2.5,,,,,,Scottish Premiership 2015-2016
vs St Johnstone,28,25.6,,38,418.0,3420,38.0,53.0,33.0,86.0,49.0,4.0,5.0,74.0,6.0,,,,,,,1.39,0.87,2.26,1.29,2.16,,,,,,Scottish Premiership 2015-2016
vs Augsburg,25,25.7,47.7,34,374.0,3060,34.0,43.0,31.0,74.0,39.0,4.0,4.0,78.0,4.0,,,,,,,1.26,0.91,2.18,1.15,2.06,,,,,,Bundesliga 2014-2015
vs Bayern Munich,28,25.8,29.6,34,374.0,3060,34.0,18.0,15.0,33.0,18.0,0.0,2.0,51.0,2.0,,,,,,,0.53,0.44,0.97,0.53,0.97,,,,,,Bundesliga 2014-2015
vs Dortmund,28,25.8,44.7,34,374.0,3060,34.0,41.0,27.0,68.0,39.0,2.0,2.0,67.0,3.0,,,,,,,1.21,0.79,2.0,1.15,1.94,,,,,,Bundesliga 2014-2015
vs Eint Frankfurt,26,25.6,50.5,34,374.0,3060,34.0,61.0,45.0,106.0,58.0,3.0,3.0,82.0,5.0,,,,,,,1.79,1.32,3.12,1.71,3.03,,,,,,Bundesliga 2014-2015
vs Freiburg,27,25.9,51.6,34,374.0,3060,34.0,46.0,30.0,76.0,44.0,2.0,2.0,62.0,3.0,,,,,,,1.35,0.88,2.24,1.29,2.18,,,,,,Bundesliga 2014-2015
vs Gladbach,19,25.8,46.5,34,374.0,3060,34.0,25.0,15.0,40.0,22.0,3.0,4.0,67.0,1.0,,,,,,,0.74,0.44,1.18,0.65,1.09,,,,,,Bundesliga 2014-2015
vs Hamburger SV,31,25.9,53.2,34,374.0,3060,34.0,50.0,33.0,83.0,45.0,5.0,8.0,57.0,3.0,,,,,,,1.47,0.97,2.44,1.32,2.29,,,,,,Bundesliga 2014-2015
vs Hannover 96,25,25.9,48.7,34,374.0,3060,34.0,55.0,39.0,94.0,53.0,2.0,2.0,58.0,4.0,,,,,,,1.62,1.15,2.76,1.56,2.71,,,,,,Bundesliga 2014-2015
vs Hertha BSC,26,25.9,59.5,34,374.0,3060,34.0,50.0,37.0,87.0,47.0,3.0,3.0,66.0,2.0,,,,,,,1.47,1.09,2.56,1.38,2.47,,,,,,Bundesliga 2014-2015
vs Hoffenheim,23,26.0,51.0,34,374.0,3060,34.0,54.0,38.0,92.0,50.0,4.0,4.0,79.0,6.0,,,,,,,1.59,1.12,2.71,1.47,2.59,,,,,,Bundesliga 2014-2015
vs Köln,23,26.0,57.2,34,374.0,3060,34.0,38.0,25.0,63.0,35.0,3.0,4.0,55.0,1.0,,,,,,,1.12,0.74,1.85,1.03,1.76,,,,,,Bundesliga 2014-2015
vs Leverkusen,22,25.9,48.3,34,374.0,3060,34.0,36.0,23.0,59.0,30.0,6.0,6.0,70.0,3.0,,,,,,,1.06,0.68,1.74,0.88,1.56,,,,,,Bundesliga 2014-2015
vs Mainz 05,29,25.9,51.1,34,374.0,3060,34.0,46.0,30.0,76.0,43.0,3.0,5.0,63.0,2.0,,,,,,,1.35,0.88,2.24,1.26,2.15,,,,,,Bundesliga 2014-2015
vs Paderborn 07,24,25.8,56.8,34,374.0,3060,34.0,63.0,43.0,106.0,58.0,5.0,7.0,57.0,1.0,,,,,,,1.85,1.26,3.12,1.71,2.97,,,,,,Bundesliga 2014-2015
vs Schalke 04,29,25.9,48.9,34,374.0,3060,34.0,39.0,23.0,62.0,38.0,1.0,2.0,62.0,3.0,,,,,,,1.15,0.68,1.82,1.12,1.79,,,,,,Bundesliga 2014-2015
vs Stuttgart,24,26.0,52.5,34,374.0,3060,34.0,59.0,38.0,97.0,55.0,4.0,4.0,72.0,4.0,,,,,,,1.74,1.12,2.85,1.62,2.74,,,,,,Bundesliga 2014-2015
vs Werder Bremen,31,25.8,56.6,34,374.0,3060,34.0,64.0,45.0,109.0,59.0,5.0,5.0,62.0,3.0,,,,,,,1.88,1.32,3.21,1.74,3.06,,,,,,Bundesliga 2014-2015
vs Wolfsburg,22,25.9,45.1,34,374.0,3060,34.0,35.0,22.0,57.0,33.0,2.0,3.0,55.0,3.0,,,,,,,1.03,0.65,1.68,0.97,1.62,,,,,,Bundesliga 2014-2015
vs Arsenal,29,27.0,43.4,38,418.0,3420,38.0,35.0,24.0,59.0,32.0,3.0,3.0,82.0,3.0,,,,,,,0.92,0.63,1.55,0.84,1.47,,,,,,Premier League 2014-2015
vs Aston Villa,27,27.0,51.0,38,418.0,3420,38.0,56.0,37.0,93.0,52.0,4.0,4.0,69.0,3.0,,,,,,,1.47,0.97,2.45,1.37,2.34,,,,,,Premier League 2014-2015
vs Burnley,24,26.8,57.5,38,418.0,3420,38.0,51.0,38.0,89.0,48.0,3.0,5.0,67.0,2.0,,,,,,,1.34,1.0,2.34,1.26,2.26,,,,,,Premier League 2014-2015
vs Chelsea,25,26.8,44.1,38,418.0,3420,38.0,31.0,25.0,56.0,28.0,3.0,3.0,93.0,7.0,,,,,,,0.82,0.66,1.47,0.74,1.39,,,,,,Premier League 2014-2015
vs Crystal Palace,30,26.9,59.6,38,418.0,3420,38.0,51.0,31.0,82.0,47.0,4.0,6.0,68.0,1.0,,,,,,,1.34,0.82,2.16,1.24,2.05,,,,,,Premier League 2014-2015
vs Everton,28,26.8,45.3,38,418.0,3420,38.0,48.0,31.0,79.0,44.0,4.0,4.0,87.0,3.0,,,,,,,1.26,0.82,2.08,1.16,1.97,,,,,,Premier League 2014-2015
vs Hull City,29,27.1,55.8,38,418.0,3420,38.0,50.0,34.0,84.0,49.0,1.0,3.0,77.0,4.0,,,,,,,1.32,0.89,2.21,1.29,2.18,,,,,,Premier League 2014-2015
vs Leicester City,28,26.9,56.5,38,418.0,3420,38.0,50.0,32.0,82.0,47.0,3.0,4.0,63.0,6.0,,,,,,,1.32,0.84,2.16,1.24,2.08,,,,,,Premier League 2014-2015
vs Liverpool,25,26.8,44.2,38,418.0,3420,38.0,47.0,29.0,76.0,46.0,1.0,3.0,87.0,4.0,,,,,,,1.24,0.76,2.0,1.21,1.97,,,,,,Premier League 2014-2015
vs Manchester City,24,26.9,40.2,38,418.0,3420,38.0,35.0,22.0,57.0,32.0,3.0,4.0,59.0,3.0,,,,,,,0.92,0.58,1.5,0.84,1.42,,,,,,Premier League 2014-2015
vs Manchester Utd,33,27.0,38.8,38,418.0,3420,38.0,36.0,25.0,61.0,33.0,3.0,4.0,73.0,4.0,,,,,,,0.95,0.66,1.61,0.87,1.53,,,,,,Premier League 2014-2015
vs Newcastle Utd,27,26.9,52.3,38,418.0,3420,38.0,62.0,48.0,110.0,58.0,4.0,4.0,92.0,0.0,,,,,,,1.63,1.26,2.89,1.53,2.79,,,,,,Premier League 2014-2015
vs QPR,32,27.0,54.8,38,418.0,3420,38.0,70.0,51.0,121.0,68.0,2.0,4.0,50.0,3.0,,,,,,,1.84,1.34,3.18,1.79,3.13,,,,,,Premier League 2014-2015
vs Southampton,29,26.9,46.9,38,418.0,3420,38.0,33.0,25.0,58.0,31.0,2.0,2.0,54.0,3.0,,,,,,,0.87,0.66,1.53,0.82,1.47,,,,,,Premier League 2014-2015
vs Stoke City,25,27.1,49.6,38,418.0,3420,38.0,45.0,28.0,73.0,40.0,5.0,5.0,67.0,5.0,,,,,,,1.18,0.74,1.92,1.05,1.79,,,,,,Premier League 2014-2015
vs Sunderland,25,27.0,54.8,38,418.0,3420,38.0,49.0,33.0,82.0,45.0,4.0,4.0,71.0,4.0,,,,,,,1.29,0.87,2.16,1.18,2.05,,,,,,Premier League 2014-2015
vs Swansea City,28,26.8,49.9,38,418.0,3420,38.0,48.0,33.0,81.0,46.0,2.0,2.0,81.0,3.0,,,,,,,1.26,0.87,2.13,1.21,2.08,,,,,,Premier League 2014-2015
vs Tottenham,27,27.0,43.0,38,418.0,3420,38.0,52.0,34.0,86.0,47.0,5.0,7.0,79.0,4.0,,,,,,,1.37,0.89,2.26,1.24,2.13,,,,,,Premier League 2014-2015
vs West Brom,26,26.8,56.3,38,418.0,3420,38.0,51.0,32.0,83.0,46.0,5.0,7.0,49.0,2.0,,,,,,,1.34,0.84,2.18,1.21,2.05,,,,,,Premier League 2014-2015
vs West Ham,28,26.9,54.4,38,418.0,3420,38.0,45.0,28.0,73.0,43.0,2.0,5.0,64.0,7.0,,,,,,,1.18,0.74,1.92,1.13,1.87,,,,,,Premier League 2014-2015
vs Almería,27,26.7,53.6,38,418.0,3420,38.0,62.0,47.0,109.0,61.0,1.0,2.0,121.0,7.0,,,,,,,1.63,1.24,2.87,1.61,2.84,,,,,,La Liga 2014-2015
vs Athletic Club,26,26.6,46.8,38,418.0,3420,38.0,39.0,29.0,68.0,37.0,2.0,3.0,111.0,7.0,,,,,,,1.03,0.76,1.79,0.97,1.74,,,,,,La Liga 2014-2015
vs Atlético Madrid,25,26.6,51.4,38,418.0,3420,38.0,27.0,20.0,47.0,24.0,3.0,3.0,91.0,4.0,,,,,,,0.71,0.53,1.24,0.63,1.16,,,,,,La Liga 2014-2015
vs Barcelona,24,26.3,34.3,38,418.0,3420,38.0,19.0,10.0,29.0,15.0,4.0,5.0,113.0,8.0,,,,,,,0.5,0.26,0.76,0.39,0.66,,,,,,La Liga 2014-2015
vs Celta Vigo,23,26.8,44.1,38,418.0,3420,38.0,43.0,26.0,69.0,38.0,5.0,7.0,125.0,4.0,,,,,,,1.13,0.68,1.82,1.0,1.68,,,,,,La Liga 2014-2015
vs Córdoba,33,26.5,54.1,38,418.0,3420,38.0,66.0,52.0,118.0,60.0,6.0,7.0,82.0,5.0,,,,,,,1.74,1.37,3.11,1.58,2.95,,,,,,La Liga 2014-2015
vs Eibar,23,26.5,56.2,38,418.0,3420,38.0,55.0,34.0,89.0,50.0,5.0,5.0,94.0,1.0,,,,,,,1.45,0.89,2.34,1.32,2.21,,,,,,La Liga 2014-2015
vs Elche,24,26.6,52.1,38,418.0,3420,38.0,60.0,37.0,97.0,53.0,7.0,9.0,86.0,5.0,,,,,,,1.58,0.97,2.55,1.39,2.37,,,,,,La Liga 2014-2015
vs Espanyol,27,26.5,54.0,38,418.0,3420,38.0,51.0,40.0,91.0,51.0,0.0,1.0,101.0,7.0,,,,,,,1.34,1.05,2.39,1.34,2.39,,,,,,La Liga 2014-2015
vs Getafe,27,26.5,53.1,38,418.0,3420,38.0,64.0,42.0,106.0,56.0,8.0,8.0,100.0,4.0,,,,,,,1.68,1.11,2.79,1.47,2.58,,,,,,La Liga 2014-2015
vs Granada,34,26.5,52.6,38,418.0,3420,38.0,62.0,39.0,101.0,58.0,4.0,4.0,108.0,8.0,,,,,,,1.63,1.03,2.66,1.53,2.55,,,,,,La Liga 2014-2015
vs La Coruña,27,26.4,51.6,38,418.0,3420,38.0,57.0,43.0,100.0,53.0,4.0,6.0,103.0,3.0,,,,,,,1.5,1.13,2.63,1.39,2.53,,,,,,La Liga 2014-2015
vs Levante,29,26.5,55.5,38,418.0,3420,38.0,66.0,46.0,112.0,62.0,4.0,8.0,99.0,4.0,,,,,,,1.74,1.21,2.95,1.63,2.84,,,,,,La Liga 2014-2015
vs Málaga,23,26.5,50.5,38,418.0,3420,38.0,48.0,35.0,83.0,45.0,3.0,6.0,118.0,7.0,,,,,,,1.26,0.92,2.18,1.18,2.11,,,,,,La Liga 2014-2015
vs Rayo Vallecano,28,26.5,45.2,38,418.0,3420,38.0,66.0,40.0,106.0,59.0,7.0,7.0,102.0,9.0,,,,,,,1.74,1.05,2.79,1.55,2.61,,,,,,La Liga 2014-2015
vs Real Madrid,24,26.8,43.8,38,418.0,3420,38.0,38.0,28.0,66.0,34.0,4.0,5.0,116.0,1.0,,,,,,,1.0,0.74,1.74,0.89,1.63,,,,,,La Liga 2014-2015
vs Real Sociedad,25,26.6,50.2,38,418.0,3420,38.0,49.0,32.0,81.0,44.0,5.0,6.0,139.0,6.0,,,,,,,1.29,0.84,2.13,1.16,2.0,,,,,,La Liga 2014-2015
vs Sevilla,26,26.6,49.7,38,418.0,3420,38.0,44.0,29.0,73.0,37.0,7.0,7.0,125.0,6.0,,,,,,,1.16,0.76,1.92,0.97,1.74,,,,,,La Liga 2014-2015
vs Valencia,24,26.9,50.0,38,418.0,3420,38.0,31.0,19.0,50.0,27.0,4.0,8.0,123.0,3.0,,,,,,,0.82,0.5,1.32,0.71,1.21,,,,,,La Liga 2014-2015
vs Villarreal,28,26.6,51.4,38,418.0,3420,38.0,36.0,22.0,58.0,33.0,3.0,3.0,89.0,2.0,,,,,,,0.95,0.58,1.53,0.87,1.45,,,,,,La Liga 2014-2015
vs Atalanta,32,27.5,53.6,38,418.0,3420,38.0,57.0,41.0,98.0,51.0,6.0,9.0,99.0,3.0,,,,,,,1.5,1.08,2.58,1.34,2.42,,,,,,Serie A 2014-2015
vs Cagliari,29,27.6,51.8,38,418.0,3420,38.0,66.0,49.0,115.0,63.0,3.0,4.0,93.0,5.0,,,,,,,1.74,1.29,3.03,1.66,2.95,,,,,,Serie A 2014-2015
vs Cesena,33,27.3,55.6,38,418.0,3420,38.0,69.0,46.0,115.0,62.0,7.0,10.0,79.0,1.0,,,,,,,1.82,1.21,3.03,1.63,2.84,,,,,,Serie A 2014-2015
vs Chievo,27,27.5,55.2,38,418.0,3420,38.0,38.0,26.0,64.0,36.0,2.0,4.0,103.0,6.0,,,,,,,1.0,0.68,1.68,0.95,1.63,,,,,,Serie A 2014-2015
vs Empoli,26,27.5,50.6,38,418.0,3420,38.0,49.0,36.0,85.0,48.0,1.0,2.0,101.0,7.0,,,,,,,1.29,0.95,2.24,1.26,2.21,,,,,,Serie A 2014-2015
vs Fiorentina,30,27.5,44.1,38,418.0,3420,38.0,44.0,28.0,72.0,41.0,3.0,3.0,108.0,4.0,,,,,,,1.16,0.74,1.89,1.08,1.82,,,,,,Serie A 2014-2015
vs Genoa,33,27.5,49.1,38,418.0,3420,38.0,47.0,32.0,79.0,44.0,3.0,8.0,110.0,5.0,,,,,,,1.24,0.84,2.08,1.16,2.0,,,,,,Serie A 2014-2015
vs Hellas Verona,30,27.5,55.9,38,418.0,3420,38.0,60.0,40.0,100.0,55.0,5.0,8.0,85.0,5.0,,,,,,,1.58,1.05,2.63,1.45,2.5,,,,,,Serie A 2014-2015
vs Inter,34,27.4,43.4,38,418.0,3420,38.0,47.0,32.0,79.0,45.0,2.0,6.0,95.0,10.0,,,,,,,1.24,0.84,2.08,1.18,2.03,,,,,,Serie A 2014-2015
vs Juventus,28,27.3,43.8,38,418.0,3420,38.0,24.0,18.0,42.0,22.0,2.0,5.0,108.0,6.0,,,,,,,0.63,0.47,1.11,0.58,1.05,,,,,,Serie A 2014-2015
vs Lazio,29,27.4,47.8,38,418.0,3420,38.0,36.0,27.0,63.0,32.0,4.0,6.0,97.0,7.0,,,,,,,0.95,0.71,1.66,0.84,1.55,,,,,,Serie A 2014-2015
vs Milan,35,27.4,48.7,38,418.0,3420,38.0,47.0,34.0,81.0,43.0,4.0,5.0,113.0,5.0,,,,,,,1.24,0.89,2.13,1.13,2.03,,,,,,Serie A 2014-2015
vs Napoli,26,27.4,45.2,38,418.0,3420,38.0,50.0,40.0,90.0,48.0,2.0,2.0,111.0,7.0,,,,,,,1.32,1.05,2.37,1.26,2.32,,,,,,Serie A 2014-2015
vs Palermo,31,27.3,50.4,38,418.0,3420,38.0,53.0,40.0,93.0,49.0,4.0,5.0,111.0,8.0,,,,,,,1.39,1.05,2.45,1.29,2.34,,,,,,Serie A 2014-2015
vs Parma,38,27.4,55.1,38,418.0,3420,38.0,75.0,52.0,127.0,70.0,5.0,6.0,71.0,5.0,,,,,,,1.97,1.37,3.34,1.84,3.21,,,,,,Serie A 2014-2015
vs Roma,32,27.4,42.7,38,418.0,3420,38.0,31.0,20.0,51.0,26.0,5.0,5.0,108.0,6.0,,,,,,,0.82,0.53,1.34,0.68,1.21,,,,,,Serie A 2014-2015
vs Sampdoria,30,27.5,49.6,38,418.0,3420,38.0,42.0,29.0,71.0,36.0,6.0,7.0,105.0,6.0,,,,,,,1.11,0.76,1.87,0.95,1.71,,,,,,Serie A 2014-2015
vs Sassuolo,27,27.1,53.0,38,418.0,3420,38.0,57.0,45.0,102.0,53.0,4.0,5.0,100.0,12.0,,,,,,,1.5,1.18,2.68,1.39,2.58,,,,,,Serie A 2014-2015
vs Torino,31,27.5,50.8,38,418.0,3420,38.0,43.0,27.0,70.0,36.0,7.0,8.0,94.0,7.0,,,,,,,1.13,0.71,1.84,0.95,1.66,,,,,,Serie A 2014-2015
vs Udinese,28,27.6,53.5,38,418.0,3420,38.0,54.0,36.0,90.0,46.0,8.0,9.0,93.0,5.0,,,,,,,1.42,0.95,2.37,1.21,2.16,,,,,,Serie A 2014-2015
vs Bastia,31,26.0,51.1,38,418.0,3420,38.0,43.0,27.0,70.0,39.0,4.0,6.0,66.0,5.0,,,,,,,1.13,0.71,1.84,1.03,1.74,,,,,,Ligue 1 2014-2015
vs Bordeaux,30,26.1,47.2,38,418.0,3420,38.0,42.0,30.0,72.0,36.0,6.0,7.0,75.0,3.0,,,,,,,1.11,0.79,1.89,0.95,1.74,,,,,,Ligue 1 2014-2015
vs Caen,23,26.2,54.8,38,418.0,3420,38.0,53.0,30.0,83.0,41.0,12.0,15.0,54.0,0.0,,,,,,,1.39,0.79,2.18,1.08,1.87,,,,,,Ligue 1 2014-2015
vs Evian,29,26.1,54.2,38,418.0,3420,38.0,59.0,33.0,92.0,52.0,7.0,8.0,66.0,4.0,,,,,,,1.55,0.87,2.42,1.37,2.24,,,,,,Ligue 1 2014-2015
vs Guingamp,28,26.0,55.8,38,418.0,3420,38.0,54.0,34.0,88.0,49.0,5.0,7.0,84.0,5.0,,,,,,,1.42,0.89,2.32,1.29,2.18,,,,,,Ligue 1 2014-2015
vs Lens,27,26.1,52.7,38,418.0,3420,38.0,60.0,34.0,94.0,51.0,9.0,9.0,55.0,5.0,,,,,,,1.58,0.89,2.47,1.34,2.24,,,,,,Ligue 1 2014-2015
vs Lille,27,26.3,48.7,38,418.0,3420,38.0,41.0,36.0,77.0,39.0,2.0,3.0,62.0,2.0,,,,,,,1.08,0.95,2.03,1.03,1.97,,,,,,Ligue 1 2014-2015
vs Lorient,32,26.1,50.4,38,418.0,3420,38.0,49.0,32.0,81.0,43.0,6.0,7.0,57.0,5.0,,,,,,,1.29,0.84,2.13,1.13,1.97,,,,,,Ligue 1 2014-2015
vs Lyon,26,26.5,43.1,38,418.0,3420,38.0,32.0,20.0,52.0,27.0,5.0,6.0,82.0,5.0,,,,,,,0.84,0.53,1.37,0.71,1.24,,,,,,Ligue 1 2014-2015
vs Marseille,25,26.2,42.3,38,418.0,3420,38.0,41.0,22.0,63.0,37.0,4.0,4.0,62.0,1.0,,,,,,,1.08,0.58,1.66,0.97,1.55,,,,,,Ligue 1 2014-2015
vs Metz,31,26.2,55.1,38,418.0,3420,38.0,58.0,32.0,90.0,53.0,5.0,5.0,40.0,5.0,,,,,,,1.53,0.84,2.37,1.39,2.24,,,,,,Ligue 1 2014-2015
vs Monaco,27,26.3,48.3,38,418.0,3420,38.0,24.0,20.0,44.0,21.0,3.0,6.0,73.0,4.0,,,,,,,0.63,0.53,1.16,0.55,1.08,,,,,,Ligue 1 2014-2015
vs Montpellier,26,26.0,52.7,38,418.0,3420,38.0,39.0,26.0,65.0,36.0,3.0,4.0,71.0,3.0,,,,,,,1.03,0.68,1.71,0.95,1.63,,,,,,Ligue 1 2014-2015
vs Nantes,27,26.2,52.9,38,418.0,3420,38.0,38.0,22.0,60.0,35.0,3.0,4.0,73.0,1.0,,,,,,,1.0,0.58,1.58,0.92,1.5,,,,,,Ligue 1 2014-2015
vs Nice,30,26.1,49.6,38,418.0,3420,38.0,51.0,28.0,79.0,45.0,6.0,8.0,76.0,4.0,,,,,,,1.34,0.74,2.08,1.18,1.92,,,,,,Ligue 1 2014-2015
vs Paris S-G,23,26.1,39.6,38,418.0,3420,38.0,33.0,23.0,56.0,30.0,3.0,3.0,72.0,6.0,,,,,,,0.87,0.61,1.47,0.79,1.39,,,,,,Ligue 1 2014-2015
vs Reims,30,26.2,51.1,38,418.0,3420,38.0,64.0,43.0,107.0,60.0,4.0,7.0,61.0,3.0,,,,,,,1.68,1.13,2.82,1.58,2.71,,,,,,Ligue 1 2014-2015
vs Rennes,22,26.2,49.8,38,418.0,3420,38.0,40.0,21.0,61.0,36.0,4.0,5.0,71.0,5.0,,,,,,,1.05,0.55,1.61,0.95,1.5,,,,,,Ligue 1 2014-2015
vs Saint-Étienne,24,26.3,49.7,38,418.0,3420,38.0,28.0,14.0,42.0,24.0,4.0,6.0,75.0,7.0,,,,,,,0.74,0.37,1.11,0.63,1.0,,,,,,Ligue 1 2014-2015
vs Toulouse,27,26.2,50.9,38,418.0,3420,38.0,62.0,42.0,104.0,55.0,7.0,8.0,62.0,4.0,,,,,,,1.63,1.11,2.74,1.45,2.55,,,,,,Ligue 1 2014-2015
vs ADO Den Haag,26,24.1,52.2,34,374.0,3060,34.0,49.0,35.0,84.0,43.0,6.0,8.0,56.0,1.0,,,,,,,1.44,1.03,2.47,1.26,2.29,,,,,,Eredivisie 2014-2015
vs Ajax,29,24.2,44.7,34,374.0,3060,34.0,28.0,22.0,50.0,27.0,1.0,1.0,56.0,6.0,,,,,,,0.82,0.65,1.47,0.79,1.44,,,,,,Eredivisie 2014-2015
vs AZ Alkmaar,24,24.0,52.2,34,374.0,3060,34.0,53.0,39.0,92.0,50.0,3.0,3.0,49.0,1.0,,,,,,,1.56,1.15,2.71,1.47,2.62,,,,,,Eredivisie 2014-2015
vs Cambuur,25,24.0,44.4,34,374.0,3060,34.0,55.0,36.0,91.0,48.0,7.0,8.0,49.0,3.0,,,,,,,1.62,1.06,2.68,1.41,2.47,,,,,,Eredivisie 2014-2015
vs Dordrecht,31,24.2,53.3,34,374.0,3060,34.0,73.0,58.0,131.0,70.0,3.0,5.0,41.0,3.0,,,,,,,2.15,1.71,3.85,2.06,3.76,,,,,,Eredivisie 2014-2015
vs Excelsior,24,24.0,59.3,34,374.0,3060,34.0,62.0,42.0,104.0,58.0,4.0,4.0,36.0,2.0,,,,,,,1.82,1.24,3.06,1.71,2.94,,,,,,Eredivisie 2014-2015
vs Feyenoord,25,24.1,41.6,34,374.0,3060,34.0,37.0,24.0,61.0,35.0,2.0,2.0,68.0,6.0,,,,,,,1.09,0.71,1.79,1.03,1.74,,,,,,Eredivisie 2014-2015
vs Go Ahead Eag,23,24.0,54.1,34,374.0,3060,34.0,56.0,38.0,94.0,54.0,2.0,3.0,48.0,4.0,,,,,,,1.65,1.12,2.76,1.59,2.71,,,,,,Eredivisie 2014-2015
vs Groningen,26,24.2,49.6,34,374.0,3060,34.0,47.0,35.0,82.0,47.0,0.0,2.0,52.0,4.0,,,,,,,1.38,1.03,2.41,1.38,2.41,,,,,,Eredivisie 2014-2015
vs Heerenveen,27,24.2,49.6,34,374.0,3060,34.0,45.0,32.0,77.0,43.0,2.0,2.0,49.0,2.0,,,,,,,1.32,0.94,2.26,1.26,2.21,,,,,,Eredivisie 2014-2015
vs Heracles Almelo,26,24.1,53.6,34,374.0,3060,34.0,63.0,46.0,109.0,61.0,2.0,3.0,39.0,3.0,,,,,,,1.85,1.35,3.21,1.79,3.15,,,,,,Eredivisie 2014-2015
vs NAC Breda,30,24.1,54.6,34,374.0,3060,34.0,67.0,49.0,116.0,64.0,3.0,4.0,42.0,3.0,,,,,,,1.97,1.44,3.41,1.88,3.32,,,,,,Eredivisie 2014-2015
vs PSV Eindhoven,26,24.2,48.3,34,374.0,3060,34.0,30.0,21.0,51.0,28.0,2.0,2.0,59.0,5.0,,,,,,,0.88,0.62,1.5,0.82,1.44,,,,,,Eredivisie 2014-2015
vs Twente,30,24.0,48.1,34,374.0,3060,34.0,51.0,34.0,85.0,48.0,3.0,5.0,38.0,5.0,,,,,,,1.5,1.0,2.5,1.41,2.41,,,,,,Eredivisie 2014-2015
